number_in_quran	sura_no	aya_no	text
21	2	14	﴿وإذا لَقُوا﴾ أصْله لَقْيُوا حُذِفَتْ الضَّمَّة لِلِاسْتِثْقالِ ثُمَّ الياء لِالتِقائِها ساكِنَة مَعَ الواو ﴿الَّذِينَ آمَنُوا قالُوا آمَنّا وإذا خَلَوْا﴾ مِنهُمْ ورَجَعُوا ﴿إلى شَياطِينهمْ﴾ رُؤَسائِهِمْ ﴿قالُوا إنّا مَعَكُمْ﴾ فِي الدِّين ﴿إنّما نَحْنُ مُسْتَهْزِئُونَ﴾ بِهِمْ بِإظْهارِ الإيمان
22	2	15	﴿اللَّه يَسْتَهْزِئ بِهِمْ﴾ يُجازِيهِمْ بِاسْتِهْزائِهِمْ ﴿ويَمُدّهُمْ﴾ يُمْهِلهُمْ ﴿فِي طُغْيانهمْ﴾ بِتَجاوُزِهِمْ الحَدّ فِي الكُفْر ﴿يَعْمَهُونَ﴾ يَتَرَدَّدُونَ تَحَيُّرًا حال
23	2	16	﴿أُولَئِكَ الَّذِينَ اشْتَرَوْا الضَّلالَة بِالهُدى﴾ أيْ اسْتَبْدَلُوها بِهِ ﴿فَما رَبِحَتْ تِجارَتهمْ﴾ أيْ ما رَبِحُوا فِيها بَلْ خَسِرُوا لِمَصِيرِهِمْ إلى النّار المُؤَبَّدَة عَلَيْهِمْ ﴿وما كانُوا مُهْتَدِينَ﴾ فِيما فَعَلُوا
24	2	17	﴿مَثَلهمْ﴾ صِفَتهمْ فِي نِفاقهمْ ﴿كَمَثَلِ الَّذِي اسْتَوْقَدَ﴾ أوْقَدَ ﴿نارًا﴾ فِي ظُلْمَة ﴿فَلَمّا أضاءَتْ﴾ أنارَتْ ﴿ما حَوْله﴾ فَأَبْصَرَ واسْتَدْفَأَ وأَمِنَ مِمَّنْ يَخافهُ ﴿ذَهَبَ اللَّه بِنُورِهِمْ﴾ أطْفَأَهُ وجُمِعَ الضَّمِير مُراعاة لِمَعْنى الَّذِي ﴿وتَرَكَهُمْ فِي ظُلُمات لا يُبْصِرُونَ﴾ ما حَوْلهمْ مُتَحَيِّرِينَ عَنْ الطَّرِيق خائِفِينَ فَكَذَلِكَ هَؤُلاءِ أمِنُوا بِإظْهارِ كَلِمَة الإيمان فَإذا ماتُوا جاءَهُمْ الخَوْف والعَذاب
25	2	18	هُمْ ﴿صُمّ﴾ عَنْ الحَقّ فَلا يَسْمَعُونَهُ سَماع قَبُول ﴿بُكْم﴾ خُرْس عَنْ الخَيْر فَلا يَقُولُونَهُ ﴿عُمْي﴾ عَنْ طَرِيق الهُدى فَلا يَرَوْنَهُ ﴿فَهُمْ لا يَرْجِعُونَ﴾ عَنْ الضَّلالَة
26	2	19	﴿أوْ﴾ مَثَلهمْ ﴿كَصَيِّبٍ﴾ أيْ كَأَصْحابِ مَطَر وأَصْله صَيْوِب مِن صابَ يَصُوب أيْ يَنْزِل ﴿مِن السَّماء﴾ السَّحاب ﴿فِيهِ﴾ أيْ السَّحاب ﴿ظُلُمات﴾ مُتَكاثِفَة ﴿ورَعْد﴾ هُوَ المَلَك المُوَكَّل بِهِ وقِيلَ صَوْته ﴿وبَرْق﴾ لَمَعان صَوْته الَّذِي يَزْجُرهُ بِهِ ﴿يَجْعَلُونَ﴾ أيْ أصْحاب الصَّيِّب ﴿أصابِعهمْ﴾ أيْ أنامِلها ﴿فِي آذانهمْ مِن﴾ أجْل ﴿الصَّواعِق﴾ شِدَّة صَوْت الرَّعْد لِئَلّا يَسْمَعُوها ﴿حَذَر﴾ خَوْف ﴿المَوْت﴾ مِن سَماعها. كَذَلِكَ هَؤُلاءِ: إذا نَزَلَ القُرْآن وفِيهِ ذِكْر الكُفْر المُشَبَّه بِالظُّلُماتِ والوَعِيد عَلَيْهِ المُشَبَّه بِالرَّعْدِ والحُجَج البَيِّنَة المُشَبَّهَة بِالبَرْقِ يَسُدُّونَ آذانهمْ لِئَلّا يَسْمَعُوهُ فَيَمِيلُوا إلى الإيمان وتَرْك دِينهمْ وهُوَ عِنْدهمْ مَوْت ﴿واللَّه مُحِيط بِالكافِرِينَ﴾ عِلْمًا وقُدْرَة فَلا يَفُوتُونَهُ
27	2	20	﴿يَكاد﴾ يَقْرَب ﴿البَرْق يَخْطَف أبْصارهمْ﴾ يَأْخُذها بِسُرْعَةٍ ﴿كُلَّما أضاءَ لَهُمْ مَشَوْا فِيهِ﴾ أيْ فِي ضَوْئِهِ ﴿وإذا أظْلَم عَلَيْهِمْ قامُوا﴾ وقَفُوا تَمْثِيل لِإزْعاجِ ما فِي القُرْآن مِن الحُجَج قُلُوبهمْ وتَصْدِيقهمْ لِما سَمِعُوا فِيهِ مِمّا يُحِبُّونَ ووُقُوفهمْ عَمّا يَكْرَهُونَ. ﴿ولَوْ شاءَ اللَّه لَذَهَبَ بِسَمْعِهِمْ﴾ بِمَعْنى أسْماعهمْ ﴿وأَبْصارهمْ﴾ الظّاهِرَة كَما ذَهَبَ بِالباطِنَةِ ﴿إنّ اللَّه عَلى كُلّ شَيْء﴾ شاءَهُ ﴿قَدِير﴾ ومِنهُ إذْهاب ما ذُكِرَ
28	2	21	﴿يا أيّها النّاس﴾ أيْ أهْل مَكَّة ﴿اُعْبُدُوا﴾ وحِّدُوا ﴿رَبّكُمْ الَّذِي خَلَقَكُمْ﴾ أنْشَأَكُمْ ولَمْ تَكُونُوا شَيْئًا ﴿و﴾ خَلَقَ ﴿الَّذِينَ مِن قَبْلكُمْ لَعَلَّكُمْ تَتَّقُونَ﴾ بِعِبادَتِهِ عِقابه ولَعَلَّ: فِي الأَصْل لِلتَّرَجِّي وفِي كَلامه تَعالى لِلتَّحْقِيقِ.
29	2	22	﴿الَّذِي جَعَلَ﴾ خَلَقَ ﴿لَكُمْ الأَرْض فِراشًا﴾ حال بِساطًا يُفْتَرَش لا غايَة فِي الصَّلابَة أوْ اللُّيُونَة فَلا يُمْكِن الِاسْتِقْرار عَلَيْها ﴿والسَّماء بِناء﴾ سَقْفًا ﴿وأَنْزَلَ مِن السَّماء ماء فَأَخْرَجَ بِهِ مِن﴾ أنْواع ﴿الثَّمَرات رِزْقًا لَكُمْ﴾ ﴿فَلا تَجْعَلُوا لِلَّهِ أنْدادًا﴾ شُرَكاء فِي العِبادَة ﴿وأَنْتُمْ تَعْلَمُونَ﴾ أنَّهُ الخالِق ولا تَخْلُقُونَ ولا يَكُون إلَهًا إلّا مَن يَخْلُق.
30	2	23	﴿وإنْ كُنْتُمْ فِي رَيْب﴾ شَكّ ﴿مِمّا نَزَّلْنا عَلى عَبْدنا﴾ مُحَمَّد مِن القُرْآن أنَّهُ مِن عِنْد اللَّه ﴿فَأْتُوا بِسُورَةٍ مِن مِثْله﴾ أيْ المُنَزَّل ومِن لِلْبَيانِ أيْ هِيَ مِثْله فِي البَلاغَة وحُسْن النَّظْم والإخْبار عَنْ الغَيْب. والسُّورَة قِطْعَة لَها أوَّل وآخِر أقَلّها ثَلاث آيات ﴿وادْعُوا شُهَداءَكُمْ﴾ آلِهَتكُمْ الَّتِي تَعْبُدُونَها ﴿مِن دُون اللَّه﴾ أيْ غَيْره لِتُعِينَكُمْ ﴿إنْ كُنْتُمْ صادِقِينَ﴾ فِي أنَّ مُحَمَّدًا قالَهُ مِن عِنْد نَفْسه فافْعَلُوا ذَلِك فَإنَّكُمْ عَرَبِيُّونَ فُصَحاء مِثْله ولَمّا عَجَزُوا عَنْ ذَلِك قالَ تَعالى:
31	2	24	﴿فَإنْ لَمْ تَفْعَلُوا﴾ ما ذُكِرَ لِعَجْزِكُمْ ﴿ولَنْ تَفْعَلُوا﴾ ذَلِك أبَدًا لِظُهُورِ إعْجازه - اعْتِراض - ﴿فاتَّقُوا﴾ بِالإيمانِ بِاللَّهِ وأَنَّهُ لَيْسَ مِن كَلام البَشَر ﴿النّار الَّتِي وقُودها النّاس﴾ الكُفّار ﴿والحِجارَة﴾ كَأَصْنامِهِمْ مِنها يَعْنِي أنَّها مُفْرِطَة الحَرارَة تَتَقَيَّد بِما ذُكِرَ لا كَنارِ الدُّنْيا تَتَّقِد بِالحَطَبِ ونَحْوه ﴿أُعِدَّتْ﴾ هُيِّئَتْ ﴿لِلْكافِرِينَ﴾ يُعَذَّبُونَ بِها جُمْلَة مُسْتَأْنَفَة أوْ حال لازِمَة
32	2	25	﴿وبَشِّرْ﴾ أخْبِرْ ﴿الَّذِينَ آمَنُوا﴾ صَدَّقُوا بِاللَّهِ ﴿وعَمِلُوا الصّالِحات﴾ مِن الفُرُوض والنَّوافِل ﴿أنَّ﴾ أيْ بِأَنَّ ﴿لَهُمْ جَنّات﴾ حَدائِق ذات أشْجار ومَساكِن ﴿تَجْرِي مِن تَحْتها﴾ أيْ تَحْت أشْجارها وقُصُورها ﴿الأَنْهار﴾ أيْ المِياه فِيها والنَّهْر المَوْضِع الَّذِي يَجْرِي فِيهِ الماء لِأَنَّ الماء يَنْهَرهُ أيْ يَحْفِرهُ وإسْناد الجَرْي إلَيْهِ مَجاز ﴿كُلَّما رُزِقُوا مِنها﴾ أُطْعِمُوا مِن تِلْكَ الجَنّات. ﴿مِن ثَمَرَة رِزْقًا قالُوا هَذا الَّذِي﴾ أيْ مِثْل ما ﴿رُزِقْنا مِن قَبْل﴾ أيْ قَبْله فِي الجَنَّة لِتَشابُهِ ثِمارها بِقَرِينَةِ ﴿وأُتُوا بِهِ﴾ أيْ جِيئُوا بِالرِّزْقِ ﴿مُتَشابِهًا﴾ يُشْبِه بَعْضه بَعْضًا لَوْنًا ويَخْتَلِف طَعْمًا ﴿ولَهُمْ فِيها أزْواج﴾ مِن الحُور وغَيْرها ﴿مُطَهَّرَة﴾ مِن الحَيْض وكُلّ قَذَر ﴿وهُمْ فِيها خالِدُونَ﴾ ماكِثُونَ أبَدًا لا يَفْنَوْنَ ولا يَخْرُجُونَ. ونَزَلَ رَدًّا لِقَوْلِ اليَهُود لَمّا ضَرَبَ اللَّه المَثَل بِالذُّبابِ فِي قَوْله: (وإنْ يَسْلُبهُمْ الذُّباب شَيْئًا والعَنْكَبُوت فِي قَوْله: (كَمَثَلِ العَنْكَبُوت ما أرادَ اللَّه بِذِكْرِ هَذِهِ الأَشْياء ؟ الخَسِيسَة فَأَنْزَلَ اللَّه
33	2	26	﴿إنّ اللَّه لا يَسْتَحْيِ أنْ يَضْرِب﴾ يَجْعَل ﴿مَثَلًا﴾ مَفْعُول أوَّل ﴿ما﴾ نَكِرَة مَوْصُوفَة بِما بَعْدها مَفْعُول ثانٍ أيّ مَثَل كانَ أوْ زائِدَة لِتَأْكِيدِ الخِسَّة فَما بَعْدها المَفْعُول الثّانِي ﴿بَعُوضَة﴾ مُفْرَد البَعُوض وهُوَ صِغار البَقّ ﴿فَما فَوْقها﴾ أيْ أكْبَر مِنها أيْ لا يَتْرُك بَيانه لِما فِيهِ مِن الحُكْم ﴿فَأَمّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أنَّهُ﴾ أيْ المَثَل ﴿الحَقّ﴾ الثّابِت الواقِع مَوْقِعه ﴿مِن رَبّهمْ وأَمّا الَّذِينَ كَفَرُوا فَيَقُولُونَ ماذا أرادَ اللَّه بِهَذا مَثَلًا﴾ تَمْيِيز أيْ بِهَذا المَثَل وما اسْتِفْهام إنْكار مُبْتَدَأ وذا بِمَعْنى الَّذِي بِصِلَتِهِ خَبَره أيْ: أيّ فائِدَة فِيهِ قالَ تَعالى فِي جَوابهمْ ﴿يُضِلّ بِهِ﴾ أيْ بِهَذا المَثَل ﴿كَثِيرًا﴾ عَنْ الحَقّ لِكُفْرِهِمْ بِهِ ﴿ويَهْدِي بِهِ كَثِيرًا﴾ مِن المُؤْمِنِينَ لِتَصْدِيقِهِمْ بِهِ ﴿وما يُضِلّ بِهِ إلّا الفاسِقِينَ﴾ الخارِجِينَ عَنْ طاعَته
34	2	27	﴿الَّذِينَ﴾ نَعْتَ ﴿يَنْقُضُونَ عَهْد اللَّه﴾ ما عَهِدَهُ إلَيْهِمْ فِي الكُتُب مِن الإيمان بِمُحَمَّدٍ ﷺ ﴿مِن بَعْد مِيثاقه﴾ تَوْكِيده عَلَيْهِمْ ﴿ويَقْطَعُونَ ما أمَرَ اللَّه بِهِ أنْ يُوصَل﴾ مِن الإيمان بِالنَّبِيِّ والرَّحِم وغَيْر ذَلِكَ وأَنْ بَدَل مِن ضَمِير بِهِ ﴿ويُفْسِدُونَ فِي الأَرْض﴾ بِالمَعاصِي والتَّعْوِيق عَنْ الإيمان ﴿أُولَئِكَ﴾ المَوْصُوفُونَ بِما ذُكِرَ ﴿هُمْ الخاسِرُونَ﴾ لِمَصِيرِهِمْ إلى النّار المُؤَبَّدَة عَلَيْهِمْ
35	2	28	﴿كَيْفَ تَكْفُرُونَ﴾ يا أهْل مَكَّة ﴿بِاللَّهِ﴾ وقَدْ ﴿كُنْتُمْ أمْواتًا﴾ نُطَفًا فِي الأَصْلاب ﴿فَأَحْياكُمْ﴾ فِي الأَرْحام والدُّنْيا بِنَفْخِ الرُّوح فِيكُمْ والِاسْتِفْهام لِلتَّعْجِيبِ مِن كُفْرهمْ مَعَ قِيام البُرْهان أوْ لِلتَّوْبِيخِ ﴿ثُمَّ يُمِيتكُمْ﴾ عِنْد انْتِهاء آجالكُمْ ﴿ثُمَّ يُحْيِيكُمْ﴾ بِالبَعْثِ ﴿ثُمَّ إلَيْهِ تُرْجَعُونَ﴾ تُرَدُّونَ بَعْد البَعْث فَيُجازِيكُمْ بِأَعْمالِكُمْ وقالَ دَلِيلًا عَلى البَعْث لِما أنْكَرُوهُ
36	2	29	﴿هُوَ الَّذِي خَلَقَ لَكُمْ ما فِي الأَرْض﴾ أيْ الأَرْض وما فِيها ﴿جَمِيعًا﴾ لِتَنْتَفِعُوا بِهِ وتَعْتَبِرُوا ﴿ثُمَّ اسْتَوى﴾ بَعْد خَلْق الأَرْض أيْ قَصَدَ ﴿إلى السَّماء فَسَوّاهُنَّ﴾ الضَّمِير يَرْجِع إلى السَّماء لِأَنَّها فِي مَعْنى الجُمْلَة الآيِلَة إلَيْهِ: أيْ صَيَّرَها كَما فِي آيَة أُخْرى (فَقَضاهُنَّ ﴿سَبْع سَماوات وهُوَ بِكُلِّ شَيْء عَلِيم﴾ مُجْمَلًا ومُفَصَّلًا أفَلا تَعْتَبِرُونَ أنَّ القادِر عَلى خَلْق ذَلِك ابْتِداء وهُوَ أعْظَم مِنكُمْ قادِر عَلى إعادَتكُمْ
37	2	30	واذْكُرْ يا مُحَمَّد إذْ ﴿قالَ رَبّك لِلْمَلائِكَةِ إنِّي جاعِل فِي الأَرْض خَلِيفَة﴾ يَخْلُفنِي فِي تَنْفِيذ أحْكامِي فِيها وهُوَ آدَم ﴿قالُوا أتَجْعَلُ فِيها مَن يُفْسِد فِيها﴾ بِالمَعاصِي ﴿ويَسْفِك الدِّماء﴾ يُرِيقها بِالقَتْلِ كَما فَعَلَ بَنُو الجانّ وكانُوا فِيها فَلَمّا أفْسَدُوا أرْسَلَ اللَّه عَلَيْهِمْ المَلائِكَة فَطَرَدُوهُمْ إلى الجَزائِر والجِبال ﴿ونَحْنُ نُسَبِّح﴾ مُتَلَبِّسِينَ ﴿بِحَمْدِك﴾ أيْ نَقُول سُبْحان اللَّه ﴿ونُقَدِّس لَك﴾ نُنَزِّهك عَمّا لا يَلِيق بِك فاللّام زائِدَة والجُمْلَة حال أيْ فَنَحْنُ أحَقّ بِالِاسْتِخْلافِ قالَ تَعالى ﴿إنِّي أعْلَم ما لا تَعْلَمُونَ﴾ مِن المَصْلَحَة فِي اسْتِخْلاف آدَم وأَنَّ ذُرِّيَّته فِيهِمْ المُطِيع والعاصِي فَيَظْهَر العَدْل بَيْنهمْ فَقالُوا لَنْ يَخْلُق رَبّنا خَلْقًا أكْرَم عَلَيْهِ مِنّا ولا أعْلَم لِسَبْقِنا لَهُ ورُؤْيَتنا ما لَمْ يَرَهُ فَخَلَقَ اللَّه تَعالى آدَم مِن أدِيم الأَرْض أيْ وجْهها بِأَنْ قَبَضَ مِنها قَبْضَة مِن جَمِيع ألْوانها وعُجِنَتْ بِالمِياهِ المُخْتَلِفَة وسَوّاهُ ونَفَخَ فِيهِ الرُّوح فَصارَ حَيَوانًا حَسّاسًا بَعْد أنْ كانَ جَمادًا
38	2	31	﴿وعَلَّمَ آدَمَ الأَسْماءَ﴾ أيْ أسَماء المُسَمَّيات ﴿كُلّها﴾ بِأَنْ ألْقى فِي قَلْبه عِلْمها ﴿ثُمَّ عَرَضَهُمْ﴾ أيْ المُسَمَّيات وفِيهِ تَغْلِيب العُقَلاء ﴿عَلى المَلائِكَة فَقالَ﴾ لَهُمْ تَبْكِيتًا ﴿أنْبِئُونِي﴾ أخْبِرُونِي ﴿بِأَسْماءِ هَؤُلاءِ﴾ المُسَمَّيات ﴿إنْ كُنْتُمْ صادِقِينَ﴾ فِي أنِّي لا أخْلُق أعْلَم مِنكُمْ أوْ أنَّكُمْ أحَقّ بِالخِلافَةِ وجَواب الشَّرْط دَلَّ عَلَيْهِ ما قَبْله
39	2	32	﴿قالُوا سُبْحانك﴾ تَنْزِيهًا لَك عَنْ الِاعْتِراض عَلَيْك ﴿لا عِلْم لَنا إلّا ما عَلَّمْتنا﴾ إيّاهُ ﴿إنّك أنْت﴾ تَأْكِيد لِلْكافِ ﴿العَلِيم الحَكِيم﴾ الَّذِي لا يَخْرُج شَيْء عَنْ عِلْمه وحِكْمَته
40	2	33	﴿قالَ﴾ تَعالى ﴿يا آدَم أنْبِئْهُمْ﴾ أيْ المَلائِكَة ﴿بِأَسْمائِهِمْ﴾ المُسَمَّيات فَسَمّى كُلّ شَيْء بِاسْمِهِ وذَكَرَ حِكْمَته الَّتِي خُلِقَ لَها ﴿فَلَمّا أنْبَأَهُمْ بِأَسْمائِهِمْ قالَ﴾ تَعالى لَهُمْ مُوَبِّخًا ﴿ألَمْ أقُلْ لَكُمْ إنِّي أعْلَم غَيْب السَّماوات والأَرْض﴾ ما غابَ فِيهِما ﴿وأَعْلَم ما تُبْدُونَ﴾ ما تُظْهِرُونَ مِن قَوْلكُمْ أتَجْعَلُ فِيها إلَخْ ﴿وما كُنْتُمْ تَكْتُمُونَ﴾ تُسِرُّونَ مِن قَوْلكُمْ لَنْ يَخْلُق أكْرَم عَلَيْهِ مِنّا ولا أعْلَم
